stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
412,412,GOUCHER BLVD & PUTTY HILL AVE eb,,39.392424,-76.583985,,,,,,0
415,415,PUTTY HILL AVE & LASALLE RD eb,,39.392983,-76.579050,,,,,,0
416,416,8601 LASALLE RD eb,,39.394724,-76.576383,,,,,,0
417,417,JOPPA RD & MYLANDER LN eb,,39.395759,-76.574566,,,,,,0
419,419,JOPPA RD & PLEASANT PLAINS RD eb,,39.396401,-76.568037,,,,,,0
420,420,1637 JOPPA RD eb,,39.397012,-76.564035,,,,,,0
421,421,CROMWELL BRIDGE PARK-N-RIDE,,39.402016,-76.570491,,,,,,0
422,422,LOCH RAVEN BLVD & STATE HWY DR sb,,39.399365,-76.564743,,,,,,0
425,425,GOUCHER BLVD & COLBURY RD opp nb,,39.384613,-76.579697,,,,,,0
426,426,LOCH RAVEN BLVD & PUTTY HILL AVE sb,,39.391822,-76.565497,,,,,,0
427,427,LOCH RAVEN BLVD & ABERDEEN RD sb,,39.390470,-76.568018,,,,,,0
429,429,LOCH RAVEN BLVD & COTTAGE LN fs sb,,39.388693,-76.571827,,,,,,0
431,431,LOCH RAVEN BLVD & TAYLOR AVE sb,,39.385848,-76.576454,,,,,,0
432,432,LOCH RAVEN BLVD & TAYLOR AVE mid sb,,39.383130,-76.578407,,,,,,0
435,435,LOCH RAVEN BLVD & SAYWARD AVE sb,,39.379816,-76.579833,,,,,,0
436,436,LOCH RAVEN BLVD & GLENDALE RD sb,,39.377663,-76.579755,,,,,,0
438,438,LOCH RAVEN BLVD & LOCH HILL RD fs sb,,39.372173,-76.582236,,,,,,0
440,440,LOCH RAVEN BLVD & MERIDENE DR sb,,39.367891,-76.584764,,,,,,0
444,444,NORTHERN PKWY & PIONEER wb,,39.368636,-76.572608,,,,,,0
446,446,NORTHERN PKWY & FENWICK AVE wb,,39.367146,-76.581487,,,,,,0
447,447,NORTHERN PKWY & LOCH RAVEN BLVD wb,,39.366105,-76.586400,,,,,,0
449,449,LOCH RAVEN BLVD & NORTHERN PKWY sb,,39.366218,-76.585739,,,,,,0
450,450,LOCH RAVEN BLVD & SHERWOOD AVE sb,,39.364134,-76.586747,,,,,,0
451,451,LOCH RAVEN BLVD & GLENEAGLE RD fs sb,,39.362396,-76.587566,,,,,,0
453,453,LOCH RAVEN BLVD & BELVEDERE AVE sb,,39.360052,-76.588671,,,,,,0
454,454,LOCH RAVEN BLVD & LOCHNER RD sb,,39.358294,-76.589495,,,,,,0
455,455,LOCH RAVEN BLVD & WOODBOURNE AVE sb,,39.355505,-76.589850,,,,,,0
456,456,LOCH RAVEN BLVD & HARTSDALE RD sb,,39.352501,-76.590581,,,,,,0
458,458,LOCH RAVEN BLVD & KITMORE RD sb,,39.351215,-76.591026,,,,,,0
461,461,LOCH RAVEN BLVD & PENTRIDGE RD fs sb,,39.347488,-76.592099,,,,,,0
464,464,LOCH RAVEN BLVD & MARBLE HALL RD sb,,39.342727,-76.592918,,,,,,0
465,465,LOCH RAVEN BLVD & HAVENWOOD RD sb,,39.340894,-76.593619,,,,,,0
466,466,LOCH RAVEN & ARGONNE sb,,39.339581,-76.594135,,,,,,0
467,467,LOCH RAVEN BLVD & GREENDALE RD fs sb,,39.336448,-76.594425,,,,,,0
468,468,THE ALAMEDA & 36TH ST sb,,39.331983,-76.595409,,,,,,0
470,470,THE ALAMEDA & 33RD ST sb,,39.328705,-76.595407,,,,,,0
472,472,CITY COLLEGE,,39.326664,-76.598873,,,,,,0
474,474,33RD ST & EDNOR RD fs wb,,39.328539,-76.599839,,,,,,0
475,475,33RD ST & ELLERSLIE AVE wb,,39.328545,-76.603208,,,,,,0
476,476,33RD ST & FRISBY ST fs wb,,39.328540,-76.606717,,,,,,0
478,478,33RD ST & GREENMOUNT AVE fs wb,,39.328505,-76.610163,,,,,,0
479,479,33RD ST & ABELL AVE wb,,39.328447,-76.611715,,,,,,0
480,480,33RD ST & GUILFORD AVE fs wb,,39.328234,-76.613807,,,,,,0
482,482,SAINT PAUL ST & 31ST ST sb,,39.326146,-76.616031,,,,,,0
483,483,SAINT PAUL ST & 29TH ST sb,,39.323499,-76.615839,,,,,,0
484,484,SAINT PAUL ST & 27TH ST sb,,39.320818,-76.615668,,,,,,0
486,486,SAINT PAUL ST & 25TH ST sb,,39.318031,-76.615496,,,,,,0
488,488,SAINT PAUL ST & 22ND ST sb,,39.314441,-76.615252,,,,,,0
489,489,SAINT PAUL ST & NORTH AVE fs sb,,39.310765,-76.615009,,,,,,0
493,493,SAINT PAUL ST & PENN STATION fs sb,,39.306995,-76.614790,,,,,,0
494,494,SAINT PAUL ST & PRESTON ST sb,,39.304228,-76.614575,,,,,,0
495,495,SAINT PAUL ST & BIDDLE ST fs sb,,39.303154,-76.614502,,,,,,0
497,497,CATHEDRAL ST & EAGER ST sb,,39.300842,-76.617646,,,,,,0
499,499,CATHEDRAL ST & MADISON sb ,,39.298660,-76.617188,,,,,,0
500,500,CATHEDRAL ST & CENTRE opp sb,,39.296411,-76.617047,,,,,,0
501,501,CATHEDRAL ST & MULBERRY sb,,39.294254,-76.616919,,,,,,0
502,502,CATHEDRAL ST & SARATOGA ST sb,,39.293237,-76.616838,,,,,,0
503,503,LIBERTY ST & LEXINGTON ST sb,,39.291706,-76.617185,,,,,,0
504,504,HOPKINS PL & BALTIMORE ARENA mb sb,,39.288491,-76.617869,,,,,,0
506,506,CHARLES ST & REDWOOD ST nb,,39.288552,-76.614964,,,,,,0
507,507,SAINT PAUL ST between CHASE ST & EAGER ST sb,,39.301783,-76.614412,,,,,,0
509,509,SAINT PAUL ST & MADISON ST sb,,39.298800,-76.614219,,,,,,0
511,511,SAINT PAUL ST between MONUMENT ST & CENTRE ST sb,,39.296783,-76.614086,,,,,,0
512,512,SAINT PAUL PL & MULBERRY ST mb sb,,39.294341,-76.614324,,,,,,0
514,514,SAINT PAUL PL & SARATOGA ST sb,,39.293035,-76.614271,,,,,,0
515,515,SAINT PAUL PL & LEXINGTON ST sb,,39.291284,-76.614055,,,,,,0
516,516,SAINT PAUL ST & FAYETTE ST fs sb,,39.290157,-76.613975,,,,,,0
