stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3541,13541,30th St & Mission St  , ,37.74231,-122.42217, , 
3542,13542,30th St & Noe St  , ,37.74188,-122.43079, , 
3543,13543,30th St & Sanchez St  , ,37.74202,-122.4286, , 
3544,13544,30th St & Sanchez St  , ,37.74191,-122.42902, , 
3546,13546,32nd Ave & California St  , ,37.783419,-122.492442, , 
3547,13547,32nd Ave & California St  , ,37.783429,-122.492553, , 
3548,13548,32nd Ave & Clement St  , ,37.781995,-122.492335, , 
3549,13549,32nd Ave & Clement St  , ,37.781802,-122.492425, , 
3550,13550,32nd Ave & Geary Blvd  , ,37.779939,-122.492296, , 
3555,13555,33rd Ave & Clement St  , ,37.781537,-122.493354, , 
3561,13561,36th Ave & Lincoln Way  , ,37.764557,-122.495372, , 
3562,13562,37th Ave & Lincoln Way  , ,37.76436,-122.496621, , 
3566,13566,42nd Ave & Clement St  , ,37.781087,-122.502994, , 
3567,13567,43rd Ave & Clement St  , ,37.781007,-122.504232, , 
3568,13568,43rd Ave & Point Lobos Ave  , ,37.779784,-122.504139, , 
3599,13599,46th Ave & Taraval St  , ,37.741685,-122.504534, , 
3600,13600,46th Ave & Ulloa St  , ,37.739998,-122.504579, , 
3601,13601,46th Ave & Ulloa St  , ,37.739829,-122.504407, , 
3602,13602,46th Ave & Vicente St  , ,37.738142,-122.50444, , 
3603,13603,46th Ave & Vicente St  , ,37.737973,-122.504268, , 
3608,13608,48th Ave & Point Lobos Ave  , ,37.779023,-122.509411, , 
3670,13670,Avenue B & Gateview Ave, ,37.82695,-122.377402, , 
3680,13680,Avalon Ave & La Grande Ave  , ,37.72474,-122.42422, , 
3681,13681,Avalon Ave & La Grande Ave   , ,37.724867,-122.424128, , 
3682,13682,Avalon Ave & Peru Ave  , ,37.72508,-122.42342, , 
3685,13685,Bacon St & Girard St  , ,37.72744,-122.40451, , 
3686,13686,Bacon St & Girard St  , ,37.72732,-122.4047, , 
3687,13687,Bacon St & Goettingen St  , ,37.72691,-122.40648, , 
3688,13688,Bacon St & Goettingen St  , ,37.7268,-122.40667, , 
3689,13689,Beverly St & Garfield St  , ,37.719728,-122.471739, , 
3694,13694,Bosworth St & Elk St  , ,37.734871,-122.44007, , 
3695,13695,Bosworth St & Diamond St  , ,37.733595,-122.434011, , 
3696,13696,Bosworth St & Diamond St  , ,37.733488,-122.43408, , 
3697,13697,Bosworth St & Elk St  , ,37.735005,-122.440093, , 
3698,13698,Bosworth St & Lippard Ave  , ,37.733925,-122.435706, , 
