route_id,service_id,trip_id,trip_headsign,trip_destination,trip_short_name,trip_route_name,direction_id,pub_dir_id,block_id,rm_block_id,shape_id
411-77,20200523-Weekend-01,952--411.0S-1736-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,952,952-,4110002
411-77,20200523-Weekend-01,952--411.0S-1936-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,952,952-,4110002
411-77,20200523-Weekend-01,952--411.0S-2032-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,952,952-,4110002
411-77,20200523-Weekend-01,952--411.0S-2132-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,952,952-,4110002
411-77,20200523-Weekend-01,952--411.0S-2326-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,952,952-,4110002
411-77,20200523-Weekend-01,952--411.0S-1707-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,952,952-,4110002
411-77,20200523-Weekend-01,951--411.0S-0537-20200523-Weekend-01,"MYSTIC LAKE","IC LAKE",411,411,0,Southbound,951,951-,4110002
411-77,20200523-Weekend-01,--411.0N-1720-20200523-Weekend-01,"MARSCHALL ROAD STATION","CHALL ROAD STATION",411,411,1,Northbound,,,4110001
903-77,20200523-Weekend-01,551-B-903.0N-0647-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,551,551-B,9030256
444-77,20200523-Weekend-01,501-RL-444.1N-0639-20200523-Weekend-01,"444 MALL OF AMERICA","MALL OF AMERICA",444,444,1,Northbound,501,501-RL,4440300
440-77,20200523-Weekend-01,502-RL-440.0N-0643-20200523-Weekend-01,"440 CEDAR GROVE","CEDAR GROVE",440,440,1,Northbound,502,502-RL,4400277
903-77,20200523-Weekend-01,552-B-903.0N-0717-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,552,552-B,9030256
445-77,20200523-Weekend-01,502-RL-445.0E-0734-20200523-Weekend-01,"445 EAGAN/DODD & OPPERMAN","EAGAN/DODD & OPPERMAN",445,445,0,Eastbound,502,502-RL,4450162
903-77,20200523-Weekend-01,551-B-903.0N-0747-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,551,551-B,9030256
