stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00878,878,"Civic Center Dr at Wescott Rd SW corner",,  44.818814, -93.164744,,,0,
00879,879,"Civic Center Dr at Pilot Knob Rd NE corner",,  44.817337, -93.167017,,,0,
00880,880,"Yankee Doodle Rd at Denmark Av SW corner",,  44.833371, -93.159937,,,0,
00881,881,"Yankee Doodle Rd at Denmark Av NE corner",,  44.833657, -93.159510,,,0,
00883,883,"Civic Center Dr at Pilot Knob Rd SE corner",,  44.817154, -93.166796,,,0,
00884,884,"Mendota Heights Rd at Enterprise Dr SW corner",,  44.865479, -93.162272,,,0,
00885,885,"Mendota Heights Rd at Jupiter Dr SW corner",,  44.865464, -93.159457,,,0,
00886,886,"Mendota Heights Rd at Executive Dr SW corner",,  44.865460, -93.156390,,,0,
00887,887,"Mendota Heights Rd at Hwy 55 SE corner",,  44.866005, -93.153613,,,0,
00888,888,"Mendota Heights Rd at Northland Dr SW corner",,  44.866326, -93.151835,,,0,
00889,889,"Mendota Heights Rd at Lexington Av SW corner",,  44.865490, -93.147738,,,0,
00890,890,"Mendota Heights Rd at Lake Dr S corner",,  44.865509, -93.136088,,,0,
00891,891,"Mendota Heights Rd at Visitation Dr S corner",,  44.865528, -93.131846,,,0,
00892,892,"Dodd Rd (Hwy 149) at Mendota Heights Rd NE corner",,  44.865998, -93.129466,,,0,
00893,893,"Dodd Rd (Hwy 149) at Lake Dr E corner",,  44.870102, -93.128214,,,0,
00894,894,"Dodd Rd (Hwy 149) at Keokuk Ln SE corner",,  44.871754, -93.127367,,,0,
00895,895,"Dodd Rd (Hwy 149) at Pagel Rd SE corner",,  44.873125, -93.126556,,,0,
00896,896,"Dodd Rd (Hwy 149) at Decorah Ln SE corner",,  44.874282, -93.126370,,,0,
00897,897,"Dodd Rd (Hwy 149) at Hokah Av SE corner",,  44.876896, -93.126315,,,0,
00898,898,"Dodd Rd (Hwy 149) at Creek Av SE corner",,  44.879479, -93.126330,,,0,
00899,899,"South Plaza Dr at Dodd Rd SE corner",,  44.880566, -93.126177,,,0,
00900,900,"South Plaza Dr at Parkview Plaza N corner",,  44.880898, -93.122439,,,0,
00901,901,"Dodd Rd at Mendota Plaza entrance SE corner",,  44.882485, -93.125681,,,0,
00902,902,"Dodd Rd (Hwy 149) at Mendota Plaza W corner",,  44.882698, -93.125765,,,0,
00903,903,"Dodd Rd (Hwy 149) at Mendakota Dr NW corner",,  44.879010, -93.126559,,,0,
