trip_id,realtime_trip_id
10762002-132-Blocks-Weekday-50,1221008
10762003-132-Blocks-Weekday-50,1221010
10762004-132-Blocks-Weekday-50,1221012
10762005-132-Blocks-Weekday-50,1221014
10762006-132-Blocks-Weekday-50,1221016
10762007-132-Blocks-Weekday-50,1221018
10762008-132-Blocks-Weekday-50,1221020
10762009-132-Blocks-Weekday-50,1221022
10762010-132-Blocks-Weekday-50,1221024
10762011-132-Blocks-Weekday-50,1221026
10762012-132-Blocks-Weekday-50,1221028
10762013-132-Blocks-Weekday-50,1221030
10762014-132-Blocks-Weekday-50,1221032
10762015-132-Blocks-Weekday-50,1221034
10762016-132-Blocks-Weekday-50,1221036
10762017-132-Blocks-Weekday-50,1221005
10762018-132-Blocks-Weekday-50,1221007
10762019-132-Blocks-Weekday-50,1221009
10762020-132-Blocks-Weekday-50,1221011
10762021-132-Blocks-Weekday-50,1221013
10762022-132-Blocks-Weekday-50,1221015
10762023-132-Blocks-Weekday-50,1221017
10762024-132-Blocks-Weekday-50,1221019
10762025-132-Blocks-Weekday-50,1221021
10762026-132-Blocks-Weekday-50,1221023
10762027-132-Blocks-Weekday-50,1221025
10762028-132-Blocks-Weekday-50,1221027
10762029-132-Blocks-Weekday-50,1221029
10762030-132-Blocks-Weekday-50,1221031
10762031-132-Blocks-Weekday-50,1221033
10762032-132-Blocks-Weekday-50,1221002
10762033-132-Blocks-Weekday-50,1221004
10762034-132-Blocks-Weekday-50,1221006
10762035-132-Blocks-Weekday-50,1221001
10762036-132-Blocks-Weekday-50,1221003
10762037-132-Blocks-Weekday-50,1211004
10762038-132-Blocks-Weekday-50,1211032
10762039-132-Blocks-Weekday-50,1211006
10762040-132-Blocks-Weekday-50,1211008
10762041-132-Blocks-Weekday-50,1211030
10762042-132-Blocks-Weekday-50,1211010
10762043-132-Blocks-Weekday-50,1211028
10762044-132-Blocks-Weekday-50,1211012
10762045-132-Blocks-Weekday-50,1211014
10762046-132-Blocks-Weekday-50,1211016
10762047-132-Blocks-Weekday-50,1211018
10762048-132-Blocks-Weekday-50,1211020
10762049-132-Blocks-Weekday-50,1211026
10762050-132-Blocks-Weekday-50,1211022
10762051-132-Blocks-Weekday-50,1211024
10762052-132-Blocks-Weekday-50,1211003
10762053-132-Blocks-Weekday-50,1211005
10762054-132-Blocks-Weekday-50,1211007
10762055-132-Blocks-Weekday-50,1211009
10762056-132-Blocks-Weekday-50,1211011
10762057-132-Blocks-Weekday-50,1211013
10762058-132-Blocks-Weekday-50,1211015
10762059-132-Blocks-Weekday-50,1211017
10762060-132-Blocks-Weekday-50,1211019
10762061-132-Blocks-Weekday-50,1211021
10762062-132-Blocks-Weekday-50,1211023
10762063-132-Blocks-Weekday-50,1211025
10762064-132-Blocks-Weekday-50,1211027
10762065-132-Blocks-Weekday-50,1211029
10762066-132-Blocks-Weekday-50,1211031
10762074-132-Blocks-Weekday-50,1211002
10762075-132-Blocks-Weekday-50,1211001
10762076-132-Blocks-Weekday-50,1201005
10762077-132-Blocks-Weekday-50,1201067
10762078-132-Blocks-Weekday-50,1201007
10762079-132-Blocks-Weekday-50,1201009
10762080-132-Blocks-Weekday-50,1201065
10762081-132-Blocks-Weekday-50,1201011
10762082-132-Blocks-Weekday-50,1201063
10762083-132-Blocks-Weekday-50,1201061
10762084-132-Blocks-Weekday-50,1201051
10762085-132-Blocks-Weekday-50,1201013
10762086-132-Blocks-Weekday-50,1201015
10762087-132-Blocks-Weekday-50,1201017
10762088-132-Blocks-Weekday-50,1201019
10762089-132-Blocks-Weekday-50,1201059
10762090-132-Blocks-Weekday-50,1201021
10762091-132-Blocks-Weekday-50,1201023
10762092-132-Blocks-Weekday-50,1201057
10762093-132-Blocks-Weekday-50,1201025
10762094-132-Blocks-Weekday-50,1201027
10762095-132-Blocks-Weekday-50,1201029
10762096-132-Blocks-Weekday-50,1201031
10762097-132-Blocks-Weekday-50,1201033
10762098-132-Blocks-Weekday-50,1201035
10762099-132-Blocks-Weekday-50,1201055
10762100-132-Blocks-Weekday-50,1201037
10762101-132-Blocks-Weekday-50,1201039
10762102-132-Blocks-Weekday-50,1201053
10762103-132-Blocks-Weekday-50,1201041
10762104-132-Blocks-Weekday-50,1201043
10762105-132-Blocks-Weekday-50,1201045
10762106-132-Blocks-Weekday-50,1201047
10762107-132-Blocks-Weekday-50,1201049
10762108-132-Blocks-Weekday-50,1201010
10762109-132-Blocks-Weekday-50,1201012
10762110-132-Blocks-Weekday-50,1201014
10762111-132-Blocks-Weekday-50,1201016
10762112-132-Blocks-Weekday-50,1201018
10762113-132-Blocks-Weekday-50,1201020
10762114-132-Blocks-Weekday-50,1201022
10762115-132-Blocks-Weekday-50,1201024
10762116-132-Blocks-Weekday-50,1201026
10762117-132-Blocks-Weekday-50,1201028
10762118-132-Blocks-Weekday-50,1201030
10762119-132-Blocks-Weekday-50,1201032
10762120-132-Blocks-Weekday-50,1201072
10762121-132-Blocks-Weekday-50,1201034
10762122-132-Blocks-Weekday-50,1201036
10762123-132-Blocks-Weekday-50,1201038
10762124-132-Blocks-Weekday-50,1201040
10762125-132-Blocks-Weekday-50,1201042
10762126-132-Blocks-Weekday-50,1201044
10762127-132-Blocks-Weekday-50,1201070
10762128-132-Blocks-Weekday-50,1201046
10762129-132-Blocks-Weekday-50,1201048
10762130-132-Blocks-Weekday-50,1201050
10762131-132-Blocks-Weekday-50,1201052
10762132-132-Blocks-Weekday-50,1201054
10762133-132-Blocks-Weekday-50,1201056
10762134-132-Blocks-Weekday-50,1201058
10762135-132-Blocks-Weekday-50,1201060
10762136-132-Blocks-Weekday-50,1201062
10762137-132-Blocks-Weekday-50,1201064
10762138-132-Blocks-Weekday-50,1201068
10762139-132-Blocks-Weekday-50,1201066
10762140-132-Blocks-Weekday-50,1201002
10762141-132-Blocks-Weekday-50,1201001
10762142-132-Blocks-Weekday-50,1201003
10762143-132-Blocks-Weekday-50,1201004
10762144-132-Blocks-Weekday-50,1201006
10762145-132-Blocks-Weekday-50,1201008
10762146-132-Blocks-Weekday-50,2961002
10762147-132-Blocks-Weekday-50,2961004
10762148-132-Blocks-Weekday-50,2961006
10762149-132-Blocks-Weekday-50,2961001
10762150-132-Blocks-Weekday-50,2961008
10762151-132-Blocks-Weekday-50,2961003
10762152-132-Blocks-Weekday-50,2961010
10762153-132-Blocks-Weekday-50,2961005
10762154-132-Blocks-Weekday-50,2961012
10762155-132-Blocks-Weekday-50,2961007
10762156-132-Blocks-Weekday-50,2961014
10762157-132-Blocks-Weekday-50,2961016
10762158-132-Blocks-Weekday-50,2961009
10762159-132-Blocks-Weekday-50,2961018
10762160-132-Blocks-Weekday-50,2961011
10762161-132-Blocks-Weekday-50,2961020
10762162-132-Blocks-Weekday-50,2961013
10762163-132-Blocks-Weekday-50,2961022
10762164-132-Blocks-Weekday-50,2961015
